,id,imdb_rating,imdb_votes,number_in_season,number_in_series,original_air_date,original_air_year,production_code,season,title,us_viewers_in_millions,views,season_group
570,524,7.1,417.0,16,524,2013-03-17,2013,RABF10,24,Dark Knight Court,4.89,44170.0,3.0
571,529,7.2,460.0,21,529,2013-05-19,2013,RABF14,24,The Saga of Carl,4.01,42996.0,3.0
572,546,6.9,430.0,16,546,2014-03-30,2014,SABF11,25,You Don't Have to Live Like a Referee,3.91,42080.0,3.0
573,567,6.6,372.0,15,567,2015-03-01,2015,TABF08,26,The Princess Guide,3.93,34137.0,3.0
574,592,6.4,228.0,18,592,2016-04-10,2016,VABF11,27,How Lisa Got Her Marge Back,2.55,188.0,3.0
575,596,6.9,210.0,22,596,2016-05-22,2016,VABF15,27,Orange Is the New Yellow,2.54,276.0,3.0
576,597,6.6,104.0,1,597,2016-09-25,2016,VABF20,28,Monty Burns' Fleeing Circus,3.36,994.0,3.0
577,262,7.2,833.0,14,262,2001-02-25,2001,CABF12,12,New Kids on the Blecch,18.1,50903.0,2.0
578,277,7.0,649.0,8,277,2002-01-20,2002,DABF03,13,Sweets and Sour Marge,12.3,54348.0,2.0
579,290,7.1,642.0,21,290,2002-05-19,2002,DABF16,13,The Frying Game,10.8,48954.0,2.0
580,303,7.3,628.0,12,303,2003-02-16,2003,EABF07,14,I'm Spelling As Fast As I Can,22.1,42885.0,2.0
581,304,7.1,599.0,13,304,2003-03-02,2003,EABF08,14,A Star Is Born-Again,14.4,42185.0,2.0
582,317,7.1,705.0,4,317,2003-11-23,2003,EABF22,15,The Regina Monologues,12.2,43134.0,2.0
583,356,7.2,635.0,21,356,2005-05-15,2005,GABF09,16,"The Father, the Son, and the Holy Guest Star",9.69,48303.0,2.0
584,361,6.9,578.0,5,361,2005-11-13,2005,GABF20,17,Marge's Son Poisoning,11.4,39428.0,2.0
585,373,7.2,677.0,17,373,2006-04-09,2006,HABF10,17,"Kiss Kiss, Bang Bangalore",8.2,47829.0,2.0
586,380,6.7,671.0,2,380,2006-09-17,2006,HABF18,18,Jazzy and the Pussycats,8.94,33495.0,2.0
587,401,6.7,706.0,1,401,2007-09-23,2007,JABF20,19,He Loves to Fly and He D'ohs,9.7,36253.0,2.0
588,404,6.9,620.0,4,404,2007-10-14,2007,JABF19,19,I Don't Wanna Know Why the Caged Bird Sings,8.8,35850.0,2.0
589,409,8.2,949.0,9,409,2007-12-16,2007,KABF02,19,Eternal Moonshine of the Simpson Mind,10.15,44862.0,2.0
590,429,5.9,706.0,9,429,2009-01-25,2009,KABF22,20,Lisa the Drama Queen,5.75,38582.0,3.0
591,431,7.0,603.0,11,431,2009-03-01,2009,LABF02,20,How the Test Was Won,6.52,41271.0,3.0
592,434,6.3,619.0,14,434,2009-03-22,2009,LABF11,20,In the Name of the Grandfather,6.15,45727.0,3.0
593,435,6.8,571.0,15,435,2009-03-29,2009,LABF05,20,Wedding for Disaster,6.58,43254.0,3.0
594,486,7.0,492.0,22,486,2011-05-22,2011,NABF15,22,The Ned-Liest Catch,5.25,43681.0,3.0
595,500,7.0,580.0,14,500,2012-02-19,2012,PABF07,23,At Long Last Leave,5.77,45226.0,3.0
596,502,7.3,541.0,16,502,2012-03-11,2012,PABF08,23,How I Wet Your Mother,4.97,44818.0,3.0
597,511,6.9,460.0,3,511,2012-11-04,2012,PABF18,24,Adventures in Baby-Getting,5.65,39687.0,3.0
598,542,6.4,473.0,12,542,2014-03-09,2014,SABF08,25,Diggs,2.69,39292.0,3.0
599,548,7.0,504.0,18,548,2014-04-13,2014,SABF13,25,Days of Future Future,3.64,55742.0,3.0
